Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Claude Code for Non-Programmers: Automating Daily Tasks,5358020,Online Course,Completed,6/22/2026,6/22/2026,2279,Seconds,1
Data Security for Python,PSL120674.00,Online Course,Completed,6/22/2026,6/22/2026,2891,Seconds,1
First Look: Anthropic Claude Fable 5,PSL126420.00,Online Course,Completed,6/22/2026,6/22/2026,2147,Seconds,1
Generative AI for Procurement,PSL123493.00,Online Course,Completed,6/22/2026,6/22/2026,1255,Seconds,1
Google Workspace: Google Docs,PSL109561.00,Online Course,Completed,6/22/2026,6/22/2026,2688,Seconds,1
Leading the Shift: The future of generative AI for scientific discovery | Microsoft Research,6054056,Online Course,Completed,6/22/2026,6/22/2026,1738,Seconds,1
Managing Hybrid Human-AI Teams,PSL113491.00,Online Course,Completed,6/22/2026,6/22/2026,3297,Seconds,1
"Agents, Tools, and Planning Foundations with LangChain",PSL96737.00,Online Course,Completed,6/16/2026,6/16/2026,7598,Seconds,1
"Memory, State, and Conversational Applications in LangChain",PSL91610.00,Online Course,Completed,6/16/2026,6/16/2026,6563,Seconds,1
Agile Transformation: Executive Briefing,PSL17931042.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
AI Agents for Everyday Professionals: Simple Automations to Speed Up Your Work (No Code Required),7131004,Online Course,Completed,6/15/2026,6/15/2026,2886,Seconds,1
APIs Explained,PSL78584.00,Online Course,Completed,6/15/2026,6/15/2026,2153,Seconds,1
BI - Business Intelligence: Executive Briefing,PSL1157802418.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Can Customers Find Your Brand? Marketing Strategies for AI-Driven Search,27512003,Online Course,Completed,6/15/2026,6/15/2026,959,Seconds,1
Change Management: How to Avoid the Hero Trap,27507015,Online Course,Completed,6/15/2026,6/15/2026,843,Seconds,1
Culture of Learning: Executive Briefing,PSL1285910198.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Cyber Security: Executive Briefing,PSL515277646.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Developing an Agile Mindset: Executive Briefing,PSL1538935168.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
GenAI Security Foundations,PSL99954.00,Online Course,Completed,6/15/2026,6/15/2026,1730,Seconds,1
How Procter & Gamble Uses AI to Unlock New Insights From Data,8261012,Online Course,Completed,6/15/2026,6/15/2026,700,Seconds,1
Human-Centered Design: Executive Briefing,PSL7681.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Introduction to Model Context Protocol by Anthropic,6615007,Online Course,Completed,6/15/2026,6/15/2026,3690,Seconds,1
Kanban: Executive Briefing,PSL1234007309.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Master NotebookLM: Build Your Own AI Research Assistant (No Code Required),7715000,Online Course,Completed,6/15/2026,6/15/2026,1988,Seconds,1
Mastering AI-Assisted Development,10666010,Online Course,Completed,6/15/2026,6/15/2026,10379,Seconds,1
Satya Nadella and Rishi Sunak on What Comes Next for AI,5777000,Online Course,Completed,6/15/2026,6/15/2026,1920,Seconds,1
Scrum: Executive Briefing,PSL1745041067.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Self-Coaching for Leadership Impact,7076000,Online Course,Completed,6/15/2026,6/15/2026,1552,Seconds,1
Sustainability & Technology: Executive Briefing,PSL8014.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Tech Ethics: Executive Briefing,PSL3445.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
The CEO’s Playbook for Difficult Board Directors,8250000,Online Course,Completed,6/15/2026,6/15/2026,688,Seconds,1
Web Development: Executive Briefing,PSL873718832.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
What Is TDD and Why It Is Not Unit Testing: Executive Briefing,PSL1430286303.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
What It Takes to Lead Your Team Through Turbulence,8259015,Online Course,Completed,6/15/2026,6/15/2026,1070,Seconds,1
Your People Are Not All Right: How to Read Cues and Provide Help,27508020,Online Course,Completed,6/15/2026,6/15/2026,991,Seconds,1
How to Use AI for Upskilling and Lifelong Learning,3980811,Online Course,Completed,6/10/2026,6/10/2026,2346,Seconds,1
Make AI Your Career Advantage with Ryan Roslansky and Aneesh Raman,8875090,Online Course,Completed,6/10/2026,6/10/2026,3384,Seconds,1
Strategic Foundations of GenAI for Higher Education Leaders,4022120,Online Course,Completed,6/10/2026,6/10/2026,2657,Seconds,1
"The AI Agent Landscape: Use Cases, Risks, and Impact",2738223,Online Course,Completed,6/10/2026,6/10/2026,5699,Seconds,1
Uncertainty to Action: Starting Your AI Learning Journey,3984162,Online Course,Completed,6/10/2026,6/10/2026,2356,Seconds,1
Building an Adaptability Mindset in the Age of AI,5956083,Online Course,Completed,6/9/2026,6/9/2026,1563,Seconds,1
5G and Edge Computing: Executive Briefing,PSL7566.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Automation: Executive Briefing,PSL7151.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Building AI-Powered Browser Agents with Playwright and Large Language Models,7619000,Online Course,Completed,6/8/2026,6/8/2026,2877,Seconds,1
Claude Code: Designing Multi-Model AI Systems,5675005,Online Course,Completed,6/8/2026,6/8/2026,7533,Seconds,1
Cloud Migrations: Executive Briefing,PSL5136.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Cloud Technologies: Executive Briefing,PSL2130869233.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
DevOps Explained,PSL82983.00,Online Course,Completed,6/8/2026,6/8/2026,2238,Seconds,1
Enterprise Platforms: Executive Briefing,PSL6343.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Evaluating and Controlling Cloud Costs: Executive Briefing,PSL1946328353.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Internet of Things (IoT): Executive Briefing,PSL1927538957.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Managing IT Services with ITIL®: Executive Briefing,PSL9870.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Microservices Architecture: Executive Briefing,PSL1331595500.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Microsoft Azure: Executive Briefing,PSL6735.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
OpenAI Codex 101: From Idea to Deployed App,8850025,Online Course,Completed,6/8/2026,6/8/2026,4165,Seconds,1
RPA & Workflow Automation: Executive Briefing,PSL473949604.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
A Better Way to Avoid Project Delays,8252000,Online Course,Completed,6/1/2026,6/1/2026,562,Seconds,1
Agentic AI Human-Agent Collaboration Design Patterns,5208204,Online Course,Completed,6/1/2026,6/1/2026,3669,Seconds,1
AI and Generative AI Explained,PSL87864.00,Online Course,Completed,6/1/2026,6/1/2026,4453,Seconds,1
Blockchain: Executive Briefing,PSL123962043.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Chatbots Explained,PSL88040.00,Online Course,Completed,6/1/2026,6/1/2026,2103,Seconds,1
Claude Code 101: From Prompt to Product,8251000,Online Course,Completed,6/1/2026,6/1/2026,3517,Seconds,1
Cloud: Executive Briefing,PSL675623160.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Communicating Data through Storytelling: Executive Briefing,PSL1778369233.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Critical and Analytical Thinking Skills in Data Literacy: Executive Briefing,PSL402605766.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Data in the Cloud: Executive Briefing,PSL8098.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Data Science Explained,PSL84136.00,Online Course,Completed,6/1/2026,6/1/2026,1596,Seconds,1
How Nesting Changes Platform Strategy,8243020,Online Course,Completed,6/1/2026,6/1/2026,1603,Seconds,1
How to Profit From Retro-Innovation,8257015,Online Course,Completed,6/1/2026,6/1/2026,784,Seconds,1
Leadership Stories: 5-Minute Lessons in Leading People,689764,Online Course,Completed,10/29/2018,6/1/2026,11263,Seconds,1
LinkedIn Learning Live: Leading a Six-Generation Workforce,8720000,Online Course,Completed,6/1/2026,6/1/2026,2806,Seconds,1
Making Data-informed Decisions: Executive Briefing,PSL1077110304.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Microsoft Certified: Azure Data Scientist Associate (DP-100),S9201875,Online Course,Completed,,6/1/2026,10800,Seconds,1
Quantum Computing: Executive Briefing,PSL9646.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Recognizing the Need for Data Literacy: Executive Briefing,PSL1433719445.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Red Teaming for Generative AI: Building Robust and Responsible Solutions,2014247,Online Course,Completed,6/1/2026,6/1/2026,1652,Seconds,1
The Case for Lean Cybersecurity Leadership,8255013,Online Course,Completed,6/1/2026,6/1/2026,647,Seconds,1
The High Cost of Executives’ Intellectual Property Blind Spots,8261011,Online Course,Completed,6/1/2026,6/1/2026,1102,Seconds,1
The Language of Data: Executive Briefing,PSL311470562.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
The Perils of Algorithmic Pricing,27509016,Online Course,Completed,6/1/2026,6/1/2026,1104,Seconds,1
Utilizing Insights and Observations with Data: Executive Briefing,PSL1736463611.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
What AI Can Teach Us about Designing Better KPIs,8238011,Online Course,Completed,6/1/2026,6/1/2026,1258,Seconds,1
What's Next in AI with Bernard Marr,8724000,Online Course,Completed,6/1/2026,6/1/2026,2698,Seconds,1
Why Salespeople Fear Pitching Radical Innovation,8260036,Online Course,Completed,6/1/2026,6/1/2026,664,Seconds,1
Benefits of GitHub Community,2707110,Online Course,Completed,5/25/2026,5/25/2026,858,Seconds,1
Big Data Explained,PSL84049.00,Online Course,Completed,5/25/2026,5/25/2026,1900,Seconds,1
Build Trust and Grow Your Business with a LinkedIn Premium Company Page,9359084,Online Course,Completed,5/25/2026,5/25/2026,865,Seconds,1
Build with AI: SQL AI Agents in Production,2757076,Online Course,Completed,5/25/2026,5/25/2026,5931,Seconds,1
Building Development Workflows with Google Antigravity,PSL99290.00,Online Course,Completed,5/25/2026,5/25/2026,1393,Seconds,1
Building with Google Gemini Advanced and Ultra,5903199,Online Course,Completed,5/25/2026,5/25/2026,939,Seconds,1
Building with the Claude API by Anthropic,4175000,Online Course,Completed,4/27/2026,5/25/2026,29492,Seconds,1
Databases: Executive Briefing,PSL1076165006.00,Online Course,Completed,5/25/2026,5/25/2026,,,1
Forward Deployed Engineering in the Age of AI,8800000,Online Course,Completed,5/22/2026,5/25/2026,2190,Seconds,1
Google Gemini API,PSL96537.00,Online Course,Completed,5/25/2026,5/25/2026,1688,Seconds,1
Google Gemini Code Assist for Developers,PSL95343.00,Online Course,Completed,5/25/2026,5/25/2026,3079,Seconds,1
Google Gemini Integration,PSL102231.00,Online Course,Completed,5/25/2026,5/25/2026,1837,Seconds,1
How to Learn a New Topic Quickly,2735144,Online Course,Completed,5/25/2026,5/25/2026,1517,Seconds,1
Prompt Engineering for Developers with Google Gemini,PSL95177.00,Online Course,Completed,5/25/2026,5/25/2026,1270,Seconds,1
The Forecast: AWS Certified CloudOps Engineer - Associate,PSL82481.00,Online Course,Completed,5/25/2026,5/25/2026,885,Seconds,1
The Forecast: AWS Generative AI Developer - Professional,PSL84567.00,Online Course,Completed,5/25/2026,5/25/2026,849,Seconds,1
The Forecast: Azure Local Services Enhancements 2024,PSL69593.00,Online Course,Completed,5/25/2026,5/25/2026,389,Seconds,1
The Forecast: Cloud Operations in the Maturity Era,PSL98920.00,Online Course,Completed,5/25/2026,5/25/2026,818,Seconds,1
"The Forecast: Cloud Sovereignty Rising: Why Europe’s Moving Away from AWS, Azure, and Google Cloud",PSL74721.00,Online Course,Completed,5/25/2026,5/25/2026,1062,Seconds,1
The Forecast: Google Cloud Generative AI Leader,PSL76021.00,Online Course,Completed,5/25/2026,5/25/2026,649,Seconds,1
"The Forecast: re:Invent 2024, Where Are They Now?",PSL70914.00,Online Course,Completed,5/25/2026,5/25/2026,565,Seconds,1
The Forecast: Strengthening S3 Security for a Resilient Cloud,PSL70156.00,Online Course,Completed,5/25/2026,5/25/2026,248,Seconds,1
The Forecast: The Multi Fabric Moment – AWS and Google Cloud Rewrite Multicloud,PSL87151.00,Online Course,Completed,5/25/2026,5/25/2026,1144,Seconds,1
The Forecast: The Return of Constraint in the Cloud,PSL87161.00,Online Course,Completed,5/25/2026,5/25/2026,680,Seconds,1
The Forecast: Three Risk Planes of Cloud Governance in the Age of AI,PSL100153.00,Online Course,Completed,5/25/2026,5/25/2026,852,Seconds,1
IT Consulting Industry Primer,S9307643,Online Course,Completed,5/23/2026,5/23/2026,2700,Seconds,1
Management Consulting Industry Primer,S9307644,Online Course,Completed,5/23/2026,5/23/2026,2700,Seconds,1
Professional & Business Services,11688,LearningPath,Completed,5/23/2026,5/23/2026,2700,Seconds,1
Assessing Infrastructure Readiness for Gen AI,PSL107056.00,Online Course,Completed,5/18/2026,5/18/2026,1189,Seconds,1
Claude Code in Action by Anthropic,4176000,Online Course,Completed,4/27/2026,5/18/2026,4255,Seconds,1
Inside Azure AI Series 18 May 2026,S9314604,Virtual Course,Completed,,5/18/2026,3600,Seconds,1
Introduction to LangChain,PSL90776.00,Online Course,Completed,5/18/2026,5/18/2026,6049,Seconds,1
Model Context Protocol: Advanced Topics by Anthropic,6611012,Online Course,Completed,5/18/2026,5/18/2026,3465,Seconds,1
The AI Operator: Design High-Impact Playbooks to 10X Your Work,7606002,Online Course,Completed,4/27/2026,5/18/2026,2399,Seconds,1
What AI Means for How We Work: A Conversation with Brice Challamel and Jeremy Utley,7253003,Online Course,Completed,4/27/2026,5/18/2026,6218,Seconds,1
Working with Data: Retrieval and Vector Stores in LangChain,PSL92333.00,Online Course,Completed,5/18/2026,5/18/2026,8997,Seconds,1
"TechLab: Discover, Govern, and Secure Agents with Microsoft Agent 365",S9313992,Online Course,Completed,,5/15/2026,3600,Seconds,1
Agentic Platform Compete Conversations with Agent J.ai,S9312445,Online Course,Completed,5/14/2026,5/14/2026,900,Seconds,1
Close-up: Microsoft Agent Factory components,S9313137,Online Course,Completed,5/14/2026,5/14/2026,720,Seconds,1
Enhance your productivity with prebuilt Microsoft 365 Copilot agents,bdd4a24e-248f-42c9-a366-5f1875e89fc5,Online Course,Completed,,5/14/2026,4500,Seconds,1
Explore prebuilt Microsoft 365 Copilot agents,837d2250-7647-4063-a005-d28c3eba2ad3,Online Course,Completed,,5/14/2026,4320,Seconds,1
Frontier Transformation | Cloud Solution Architect IC,12252,LearningPath,Completed,3/11/2026,5/14/2026,23100,Seconds,1
Inside view: Microsoft Agent Factory,S9313135,Online Course,Completed,5/14/2026,5/14/2026,324,Seconds,1
Microsoft Agent Factory,12626,LearningPath,Completed,5/14/2026,5/14/2026,2700,Seconds,1
Microsoft Agent Factory conversation with Agent J.ai,S9313132,Online Course,Completed,5/14/2026,5/14/2026,900,Seconds,1
"Microsoft IQ Overview (Work IQ, Foundry IQ and Fabric IQ)",S9313643,Online Course,Completed,5/14/2026,5/14/2026,972,Seconds,1
Spotlight on: Agent P3 Pipeline Management,S9313617,Online Course,Completed,5/14/2026,5/14/2026,900,Seconds,1
"Survey: TechWorkshop L200 on-demand: A365 Observe, Govern, and Secure agents",S9313686,Online Course,Completed,5/14/2026,5/14/2026,324,Seconds,1
"TechLab: Discover, Govern, and Secure Agents with Microsoft Agent 365",S9313992,Online Course,Completed,,5/14/2026,3600,Seconds,1
"TechWorkshop L200 on-demand: A365 Observe, Govern, and Secure agents",12641,LearningPath,Completed,5/14/2026,5/14/2026,5400,Seconds,1
"TechWorkshop L200 on-demand: A365 Observe, Govern, and Secure agents",S9313713,Online Course,Completed,5/14/2026,5/14/2026,4212,Seconds,1
"TechWorkshop L200 on-demand: Practice the A365 Observe, Govern, and Secure agents conversation",S9313743,Online Course,Completed,,5/14/2026,1800,Seconds,1
Consultative Mindset,12378,LearningPath,Completed,5/13/2026,5/13/2026,5100,Seconds,1
Consultative Mindset: bringing the 3 Cs together,S9312605,Online Course,Completed,5/13/2026,5/13/2026,900,Seconds,1
Consultative Mindset: Co-create,S9312629,Online Course,Completed,5/13/2026,5/13/2026,900,Seconds,1
Consultative Mindset: Context,S9312409,Online Course,Completed,5/13/2026,5/13/2026,900,Seconds,1
Consultative Mindset: Curiosity,S9312410,Online Course,Completed,5/13/2026,5/13/2026,900,Seconds,1
Consultative Mindset: Overview,S9312396,Online Course,Completed,5/13/2026,5/13/2026,900,Seconds,1
Consultative Mindset: Scenario challenge,S9313993,Online Course,Completed,,5/13/2026,612,Seconds,1
Frontier Transformation Overview,12407,LearningPath,Completed,3/11/2026,5/13/2026,11100,Seconds,1
Microsoft Certified: Machine Learning Operations (MLOps) Engineer Associate (AI-300),S9312758,Online Course,Completed,,5/13/2026,10800,Seconds,1
15 Claude Tips for Everyday Data Analysis,8385000,Online Course,Completed,4/27/2026,5/11/2026,1309,Seconds,1
Agent-To-Agent Protocol,PSL96570.00,Online Course,Completed,5/11/2026,5/11/2026,5102,Seconds,1
AI in Action: Global Case Studies from Public Institutions,8124000,Online Course,Completed,5/11/2026,5/11/2026,2474,Seconds,1
Claude with Google Cloud Vertex AI by Anthropic,6622001,Online Course,Completed,4/27/2026,5/11/2026,28269,Seconds,1
Data: Executive Briefing,PSL5986.00,Online Course,Completed,5/11/2026,5/11/2026,,,1
Foundations of GitHub Security (GH-500),PSL89068.00,Online Course,Completed,5/11/2026,5/11/2026,5512,Seconds,1
How to Use Generative AI for Pricing,8252022,Online Course,Completed,5/11/2026,5/11/2026,902,Seconds,1
Human-First AI: Building AI Products That People Actually Use,8316000,Online Course,Completed,4/27/2026,5/11/2026,1748,Seconds,1
Implement Code Scanning and CodeQL (GH-500),PSL89069.00,Online Course,Completed,5/11/2026,5/11/2026,7699,Seconds,1
Introduction to Model Context Protocol (MCP),PSL87269.00,Online Course,Completed,5/11/2026,5/11/2026,2608,Seconds,1
Model Context Protocol: Advanced Features,PSL86323.00,Online Course,Completed,5/11/2026,5/11/2026,5795,Seconds,1
Using the C# Model Context Protocol SDK,PSL81020.00,Online Course,Completed,5/11/2026,5/11/2026,8455,Seconds,1
Vibe Coding Your First Agent with Google Gemini,8278009,Online Course,Completed,5/11/2026,5/11/2026,863,Seconds,1
"AI-Powered OKRs for Managers: Align, Track, and Deliver Results using ChatGPT (No Code Required)",11104010,Online Course,Completed,4/27/2026,5/4/2026,2465,Seconds,1
Build with AI: Agent Mode in Visual Studio Code,8659072,Online Course,Completed,5/4/2026,5/4/2026,2753,Seconds,1
Context Assembly and Compression,PSL85122.00,Online Course,Completed,5/4/2026,5/4/2026,3130,Seconds,1
Context Indexing and Retrieval,PSL85413.00,Online Course,Completed,5/4/2026,5/4/2026,2259,Seconds,1
Cursor 101: Run AI Agents That Actually Ship Code,9068000,Online Course,Completed,5/4/2026,5/4/2026,1195,Seconds,1
Introduction to Context Engineering,PSL84446.00,Online Course,Completed,5/4/2026,5/4/2026,4028,Seconds,1
Open to Work: Building Key Career Skills in the Age of AI,5604026,Online Course,Completed,5/4/2026,5/4/2026,2343,Seconds,1
"Responsible AI: Global Risks, Governance, and Human Oversight",8824040,Online Course,Completed,4/27/2026,5/4/2026,5989,Seconds,1
Storytelling to Connect People with Purpose with Liz Fosslien,3806101,Online Course,Completed,4/27/2026,5/4/2026,4087,Seconds,1
Turning Data into Strategies,3897055,Online Course,Completed,4/27/2026,5/4/2026,3111,Seconds,1
"Understanding AI’s Global Impact: Governance, Equity, and Responsibility",8501003,Online Course,Completed,4/27/2026,5/4/2026,5336,Seconds,1
Advanced Claude Code,PSL85412.00,Online Course,Completed,4/27/2026,4/27/2026,5236,Seconds,1
Claude Code in Practice,PSL85408.00,Online Course,Completed,4/27/2026,4/27/2026,2860,Seconds,1
How to Generate Marketing Leads with AI,3821060,Online Course,Completed,4/27/2026,4/27/2026,1616,Seconds,1
Introduction to Agentic AI in 5G: Smarter Autonomous Networks,27500045,Online Course,Completed,4/20/2026,4/27/2026,10889,Seconds,1
Introduction to Claude Code,PSL85962.00,Online Course,Completed,4/27/2026,4/27/2026,1576,Seconds,1
"Tackling Climate Risk: Tools, Scenarios, and Smart Decisions",5629144,Online Course,Completed,4/20/2026,4/27/2026,2804,Seconds,1
Application Analysis with SonarQube,PSL10155.00,Online Course,Completed,4/20/2026,4/20/2026,,,1
Claude with Amazon Bedrock by Anthropic,6614006,Online Course,Completed,4/13/2026,4/20/2026,26775,Seconds,1
Deep Learning with Python: Sequence Models and Transformers,3928086,Online Course,Completed,4/13/2026,4/20/2026,5190,Seconds,1
Kubernetes Security: Implementing Supply Chain Security,PSL7983.00,Online Course,Completed,4/20/2026,4/20/2026,,,1
OWASP Top 10 with Burp Suite,PSL49272.00,Online Course,Completed,4/20/2026,4/20/2026,4233,Seconds,1
Specialized Engineering: Enterprise Hybrid Cloud,PSL11394.00,Online Course,Completed,4/20/2026,4/20/2026,,,1
Specialized Testing: Deserialization,PSL13236.00,Online Course,Completed,4/20/2026,4/20/2026,,,1
Specialized Testing: Sessions and Tokens,PSL13237.00,Online Course,Completed,4/20/2026,4/20/2026,,,1
Using Augmented and Virtual Reality in Sales,5988097,Online Course,Completed,4/13/2026,4/20/2026,824,Seconds,1
Security Foundations: Safeguarding Data,S9312170,Online Course,Completed,4/15/2026,4/15/2026,2088,Seconds,1
Frontier Transformation Demo Practice: Copilot Cowork,S9311822,Online Course,Completed,,4/14/2026,1800,Seconds,1
Frontier Transformation Demo Practice: GitHub + Foundry & Foundry IQ,S9311823,Online Course,Completed,,4/14/2026,1800,Seconds,1
Microsoft 365 E7 and Agent 365: Practice conversations,12363,LearningPath,Completed,,4/14/2026,1200,Seconds,1
Microsoft 365 E7 and Agent 365: Practice customer conversations focused on tech,S9312815,Online Course,Completed,,4/14/2026,1224,Seconds,1
Agentic AI: Build Your First Agentic AI System,4645038,Online Course,Completed,4/6/2026,4/13/2026,3932,Seconds,1
Claude Cowork 7-Day Challenge: Find Practical AI Use Cases That Deliver,8659038,Online Course,Completed,4/13/2026,4/13/2026,2755,Seconds,1
DevSecOps: Enabling Security Governance and Compliance in DevSecOps,PSL27064.00,Online Course,Completed,4/13/2026,4/13/2026,,,1
How to Be an Agent Boss: Leading AI Agents at Work,6144000,Online Course,Completed,4/6/2026,4/13/2026,2433,Seconds,1
Human-Centered Leadership in the Age of AI,6647005,Online Course,Completed,4/6/2026,4/13/2026,2142,Seconds,1
Information and Cyber Security GRC: Compliance Assessment and Reporting,PSL14002.00,Online Course,Completed,4/13/2026,4/13/2026,,,1
Introduction to Large Language Models (LLMs) and Prompt Engineering by Pearson,7685001,Online Course,Completed,4/13/2026,4/13/2026,17999,Seconds,1
Leverage PowerShell Tools for Pen Testing,PSL9352.00,Online Course,Completed,4/13/2026,4/13/2026,,,1
"Pen Testing: Planning, Scoping, and Recon",PSL10331.00,Online Course,Completed,4/13/2026,4/13/2026,,,1
Pen Testing: Reporting,PSL9497.00,Online Course,Completed,4/13/2026,4/13/2026,,,1
Specialized Attacks: Hardware Product Testing,PSL9679.00,Online Course,Completed,4/13/2026,4/13/2026,,,1
Frontier Transformation Demo Practice: Microsoft Fabric,S9311833,Online Course,Completed,,4/10/2026,1800,Seconds,1
"TechLab: Build intelligent, multi-agent apps with Github and Agent Framework",S9311253,Online Course,Completed,,4/10/2026,4500,Seconds,1
TS - AI Agent Engineering Frontier Transformation TechLabs (LP12486),12486,LearningPath,Completed,,4/10/2026,7200,Seconds,1
FY26 CSA Role Fundamentals,S9310065,Online Course,Completed,4/8/2026,4/8/2026,5400,Seconds,1
The Agile Mindset,12478,LearningPath,Completed,4/8/2026,4/8/2026,3000,Seconds,1
The Agile Mindset: Awareness,S9312783,Online Course,Completed,4/8/2026,4/8/2026,1224,Seconds,1
The Agile Mindset: Calm,S9312784,Online Course,Completed,4/8/2026,4/8/2026,900,Seconds,1
The Agile Mindset: Focus,S9312785,Online Course,Completed,4/8/2026,4/8/2026,900,Seconds,1
7 Keys for Developing Effective Creative and Critical Thinking,6057143,Online Course,Completed,3/30/2026,4/6/2026,6267,Seconds,1
Critical Thinking for Software Engineers: Practical Approach to Complex Software Engineering Challenges,2732130,Online Course,Completed,3/30/2026,4/6/2026,2351,Seconds,1
DevOps Foundations: Security and DevSecOps,PSL7899.00,Online Course,Completed,4/6/2026,4/6/2026,,,1
DevSecOps: Adding Security Testing Tools to Pipelines,PSL22777.00,Online Course,Completed,4/6/2026,4/6/2026,,,1
DevSecOps: Automated Security Testing Fundamentals,PSL19747.00,Online Course,Completed,4/6/2026,4/6/2026,,,1
Investing in Human Skills in the Age of AI,5956231,Online Course,Completed,9/10/2024,4/6/2026,1443,Seconds,1
Quantum Cryptography by Pearson,7704001,Online Course,Completed,4/6/2026,4/6/2026,7482,Seconds,1
Security Controls: CIS Controls,PSL8580.00,Online Course,Completed,4/6/2026,4/6/2026,,,1
What to Post on LinkedIn to Stand Out,4033203,Online Course,Completed,3/30/2026,4/6/2026,1756,Seconds,1
Windows Endpoint Security: Networking,PSL12215.00,Online Course,Completed,4/6/2026,4/6/2026,,,1
Frontier Transformation conversations with Agent J.ai,S9311055,Online Course,Completed,4/2/2026,4/2/2026,1224,Seconds,1
Frontier Transformation Narrative Second Nature practice,S9312490,Online Course,Completed,,4/2/2026,1800,Seconds,1
Frontier Transformation Solutions Narrative Second Nature practice,S9312491,Online Course,Completed,,4/2/2026,1800,Seconds,1
AI Path to Production Learning Initiative,S9312045,Online Course,Completed,4/1/2026,4/1/2026,13212,Seconds,1
IP Skills Assessment_AI Production Readiness Assessment,S9280623,Online Course,Completed,4/1/2026,4/1/2026,3600,Seconds,1
Foundations of The Fourth Industrial Revolution (Industry 4.0),2495287,Online Course,Completed,3/30/2026,3/30/2026,7537,Seconds,1
Google Gemini API,PSL72964.00,Online Course,Completed,3/30/2026,3/30/2026,1045,Seconds,1
Google Gemini Integration,PSL71882.00,Online Course,Completed,3/30/2026,3/30/2026,1268,Seconds,1
Google Gemini Model Selection,PSL51494.00,Online Course,Completed,3/30/2026,3/30/2026,1356,Seconds,1
Google Gemini Security and Cost Optimization,PSL53791.00,Online Course,Completed,3/30/2026,3/30/2026,1563,Seconds,1
Inclusive Presentation Skills,S3124099,Online Course,Completed,3/30/2026,3/30/2026,108,Seconds,1
Making the Most of a Difficult Design Job,2875149,Online Course,Completed,9/3/2024,3/30/2026,2367,Seconds,1
Project Management Foundations: Requirements,2253159,Online Course,Completed,9/3/2024,3/30/2026,1758,Seconds,1
Project Management Foundations: Schedules,612168,Online Course,Completed,4/17/2025,3/30/2026,7660,Seconds,1
Purpose-Driven Sales,2427402,Online Course,Completed,9/5/2023,3/30/2026,2961,Seconds,1
Strategic Financial Intelligence for Business Leaders,3965698,Online Course,Completed,3/16/2026,3/30/2026,5405,Seconds,1
Turning the Corporate Ladder into an Escalator,PSL1681053705.00,Online Course,Completed,3/30/2026,3/30/2026,,,1
Understanding Psychology of Change,PSL4328.00,Online Course,Completed,3/30/2026,3/30/2026,,,1
Using ChatGPT and Generative AI in FinTech,4487049,Online Course,Completed,12/19/2023,3/30/2026,6466,Seconds,1
AWS Certified AI Practitioner (AIF-C01): Applications of Foundation Models,PSL65202.00,Online Course,Completed,3/23/2026,3/23/2026,3895,Seconds,1
AWS Certified AI Practitioner (AIF-C01): Fundamentals of AI and ML,PSL60964.00,Online Course,Completed,3/23/2026,3/23/2026,7447,Seconds,1
Building Secure and Trustworthy LLMs Using NVIDIA Guardrails,3898102,Online Course,Completed,2/16/2026,3/23/2026,3409,Seconds,1
Creating Agents with CrewAI,2032438,Online Course,Completed,2/16/2026,3/23/2026,9250,Seconds,1
Creating Great Workplace Habits,4022116,Online Course,Completed,3/16/2026,3/23/2026,3063,Seconds,1
