Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Customer Service: Managing Customer Feedback,LINKEDINLEARNING_45092,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Learn Social Media Monitoring,LINKEDINLEARNING_16392,Online Course,Completed,7/21/2019,7/21/2019,2088,Seconds,1
Marketing Communications,578359,Online Course,Completed,7/20/2019,7/21/2019,5618,Seconds,1
Marketing Communications,LINKEDINLEARNING_13725,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Marketing to Humans,LINKEDINLEARNING_26209,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Offline Marketing Foundations,LINKEDINLEARNING_37014,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Power BI for Marketers,LINKEDINLEARNING_38092,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Product Marketing Foundations,LINKEDINLEARNING_37068,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Social Media Marketing: Social CRM,LINKEDINLEARNING_16735,Online Course,Completed,7/21/2019,7/21/2019,0,Seconds,1
Excel: Power Pivot for Beginners,LINKEDINLEARNING_50128,Online Course,Completed,7/20/2019,7/20/2019,0,Seconds,1
Introducing Robotic Process Automation,LINKEDINLEARNING_37079,Online Course,Completed,7/20/2019,7/20/2019,0,Seconds,1
Lean Software Development,5030985,Online Course,Completed,7/19/2019,7/20/2019,5708,Seconds,1
Learning Public Data Sets,5034173,Online Course,Completed,7/20/2019,7/20/2019,7312,Seconds,1
Lessons in Enlightened Leadership,2812534,Online Course,Completed,7/19/2019,7/20/2019,3410,Seconds,1
Selling with Authenticity,5016707,Online Course,Completed,7/19/2019,7/20/2019,2460,Seconds,1
Work with synchronous integrations in finance and operations apps,568cf095-bfbd-43f2-be66-d2494e5c2738,Online Course,Completed,7/20/2019,7/20/2019,4200,Seconds,1
Build finance and operations apps,2d208873-8e3d-4a18-b0e1-bc53ec9689b3,Online Course,Completed,7/19/2019,7/19/2019,48420,Seconds,1
Connect to Microsoft Power Platform services with Finance and Operations apps,c3780621-893e-4295-a7f0-e132e92595d9,Online Course,Completed,7/19/2019,7/19/2019,2100,Seconds,1
Create classes in finance and operations apps,2d026ed8-6a9e-45f9-822b-ba897e17ccde,Online Course,Completed,7/19/2019,7/19/2019,5400,Seconds,1
Explore data integration concepts in finance and operations apps,b7d8ed4d-93d3-4033-8acc-b1568220dbf2,Online Course,Completed,7/19/2019,7/19/2019,2280,Seconds,1
Explore design and deployment considerations for finance and operations apps,6bcc307b-976f-479b-8d32-c8110cd46264,Online Course,Completed,7/19/2019,7/19/2019,3960,Seconds,1
Extend plug-ins,c28cd9f6-5cb6-464d-980d-0a1e3aa36d1b,Online Course,Completed,7/19/2019,7/19/2019,5580,Seconds,1
Implement the Data management package API for finance and operations apps,ed7432ec-4709-4c9e-b053-2a0d7652bb3c,Online Course,Completed,7/19/2019,7/19/2019,3060,Seconds,1
